dt_code,fault_code
ELEC FAULT - STA 58,1118
ELEC FAULT - STA 59,1119
ELEC FAULT - STA 29,1119
ELEC FAULT - STA 30,1120
ELEC FAULT - STA 60,1120
ELEC FAULT - REPAIR IN/OUT,1121
PROCESS FAULT - LOAD STA,1201
PROCESS FAULT - VISION STA,1202
PROCESS FAULT - STA 1,1203
PROCESS FAULT - STA 2,1204
PROCESS FAULT - STA 3,1205
PROCESS FAULT - STA 4,1206
PROCESS FAULT - STA 5,1207
PROCESS FAULT - STA 6,1208
PROCESS FAULT - STA 7,1209
PROCESS FAULT - UNLOAD,1210
PROCESS FAULT - LOAD HLDBACK,1211
PROCESS FAULT - VISION HLDBACK,1212
NO PART AT STA 1 HOLDBACK,1213
PROCESS FAULT - UNLOAD HLDBACK,1214
ESTOP - AGC 1,1301
ESTOP - AGC 2,1302
ESTOP - AGC 3,1303
ESTOP - AGC 4,1304
ESTOP - AGC 5,1305
ESTOP - AGC 6,1306
ESTOP - AGC 7,1307
ESTOP - AGC 8,1308
ESTOP - AGC 9,1309
ESTOP - AGC 10,1310
ESTOP - AGC 11,1311
ESTOP - AGC 12,1312
ESTOP - AGC 13,1313
ESTOP - AGC 14,1314
SEND AGC 1 TO MAINT,1401
SEND AGC 2 TO MAINT,1402
SEND AGC 3 TO MAINT,1403
SEND AGC 4 TO MAINT,1404
SEND AGC 5 TO MAINT,1405
SEND AGC 6 TO MAINT,1406
SEND AGC 7 TO MAINT,1407
SEND AGC 8 TO MAINT,1408
SEND AGC 9 TO MAINT,1409
SEND AGC 10 TO MAINT,1410
SEND AGC 11 TO MAINT,1411
SEND AGC 12 TO MAINT,1412
SEND AGC 13 TO MAINT,1413
SEND AGC 14 TO MAINT,1414
BLOCKED - AGC 1,2001
BLOCKED - AGC 2,2002
BLOCKED - AGC 3,2003
BLOCKED - AGC 4,2004
BLOCKED - AGC 5,2005
BLOCKED - AGC 6,2006
BLOCKED - AGC 7,2007
BLOCKED - AGC 8,2008
BLOCKED - AGC 9,2009
BLOCKED - AGC 10,2010
BLOCKED - AGC 11,2011
BLOCKED - AGC 12,2012
BLOCKED - AGC 13,2013
BLOCKED - AGC 14,2014
MECH FAULT - STA 41,2101
MECH FAULT - STA 11,2101
MECH FAULT - STA 31,2101
MECH FAULT - STA 32,2102
MECH FAULT - STA 12,2102
MECH FAULT - STA 42,2102
MECH FAULT - STA 43,2103
MECH FAULT - STA 13,2103
MECH FAULT - STA 33,2103
MECH FAULT - STA 34,2104
MECH FAULT - STA 14,2104
MECH FAULT - STA 44,2104
MECH FAULT - STA 45,2105
MECH FAULT - STA 15,2105
MECH FAULT - STA 35,2105
MECH FAULT - STA 36,2106
MECH FAULT - STA 16,2106
MECH FAULT - STA 46,2106
MECH FAULT - STA 47,2107
MECH FAULT - STA 17,2107
MECH FAULT - STA 37,2107
MECH FAULT - STA 38,2108
MECH FAULT - STA 18,2108
MECH FAULT - STA 48,2108
MECH FAULT - STA 49,2109
MECH FAULT - STA 19,2109
MECH FAULT - STA 39,2109
MECH FAULT - STA 40,2110
MECH FAULT - STA 20,2110
MECH FAULT - STA 50,2110
MECH FAULT - STA 51,2111
MECH FAULT - STA 21,2111
MECH FAULT - REPAIR IN,2111
MECH FAULT - REPAIR OUT,2112
MECH FAULT - STA 22,2112
MECH FAULT - STA 52,2112
MECH FAULT - STA 53,2113
MECH FAULT - STA 23,2113
MECH FAULT TCI,2113
MECH FAULT - STA 24,2114
MECH FAULT - STA 54,2114
MECH FAULT - STA 55,2115
MECH FAULT - STA 25,2115
MECH FAULT - STA 26,2116
MECH FAULT - STA 56,2116
MECH FAULT - STA 57,2117
MECH FAULT - STA 27,2117
MECH FAULT - STA 28,2118
MECH FAULT - STA 58,2118
MECH FAULT - STA 59,2119
MECH FAULT - STA 29,2119
MECH FAULT - STA 30,2120
MECH FAULT - STA 60,2120
MECH FAULT - REPAIR IN/OUT,2121
STA 11 SAFETY SCANNER,2121
STA 24 SAFETY SCANNER,2122
STA 28 SAFETY SCANNER,2123
COM FAULT - CONV ZONE 1,5001
COM FAULT - CONV ZONE 3,5001
COM FAULT - AGC 1,5001
COM FAULT - CONV ZONE 2,5001
COM FAULT - AGC 2,5002
COM FAULT - AGC 3,5003
COM FAULT - AGC 4,5004
COM FAULT - AGC 5,5005
COM FAULT - AGC 6,5006
COM FAULT - AGC 7,5007
COM FAULT - AGC 8,5008
COM FAULT - AGC 9,5009
COM FAULT - AGC 10,5010
COM FAULT - AGC 11,5011
COM FAULT - AGC 12,5012
COM FAULT - AGC 13,5013
COM FAULT - AGC 14,5014
COM FAULT - PLC CARDS,5015
COM FAULT - L51POSTFOAM PLC,5016
COM FAULT - L52CONV PLC,5017
COM FAULT - EFLEX,5018
COM FAULT - SAM,5019
COM FAULT - EFLEX MODULE,5020
STARVED- LOAD STA.,10001
ZONE 3 BLOCKED BY PICKUP,10001
CONV ZONE 1 BLOCKED BY TCI,10001
BLOCKED BY CONV ZONE 3,10001
STARVED - VISION STA.,10002
STARVED- STA 1,10003
STARVED- STA 2,10004
STARVED- STA 3,10005
STARVED- STA 4,10006
STARVED- STA 5,10007
STARVED- STA 6,10008
STARVED- STA 7,10009
STARVED - UNLOAD STA,10010
STA 11 BLOCKED BY CHRG STA,10101
STA 41 BLOCKED - REPAIR/CV3,10101
STA 31 BLOCKED BY REPAIR,10101
STA 32 BLOCKED BY REPAIR,10102
STA 42 BLOCKED BY REPAIR,10102
STA 33 BLOCKED BY TCI,10103
CHRG STA BLOCKED BY STA 24,10107
CHRG STA BLOCKED BY STA 24,10110
TCI BLOCKED - REPAIR / CV3,10110
STA 24 BLOCKED BY STA 28,10114
STA 56 BLOCKED BY PICKUP,10116
WAITING ON PICKUP @ EOL,10117
STA 28 BLOCKED BY TCI,10118
CONV ZONE 1 BLOCKED BY TCI,10120
CONV ZONE 1 STARVED BY AGC,10201
ZONE 3 STARVED BY TCI,10201
STARVED BY CONV ZONE 1,10201
TCI ZONE STARVED,10202
CONV ZONE 3 STARVED,10202
CONV ZONE 1 STARVED,10202
STA 11 STARVED BY AGC ZONE,10301
STA 41 STARVED BY TCI,10301
STA 31 STARVED BY CONV ZONE 1,10301
STA 47 STARVED BY TCI,10307
CHARGE STA STARVED BY TIPUP,10307
STA 24 STARVED BY CHRG STA,10314
STA 28 STARVED BY STA 24,10318
BLOCKED - LOAD STA,11001
BLOCKED - VISION STA,11002
BLOCKED- STA 1,11003
BLOCKED- STA 2,11004
BLOCKED- STA 3,11005
BLOCKED- STA 4,11006
BLOCKED- STA 5,11007
BLOCKED- STA 6,11008
BLOCKED- STA 7,11009
BLOCKED - UNLOAD STA,11010
BLOCKED - MAINT. STA,11011
ZONE DOWN - LOAD STA,12001
HELP CALL - STA 11,12001
HELP CALL - STA 47,12001
HELP CALL - STA 40 TCI,12001
HELP CALL - STA 51,12002
HELP CALL - CHARGE STA,12002
ZONE DOWN - VISION STA,12002
ZONE DOWN - STA 1,12003
HELP CALL - STA 24,12003
HELP CALL - STA 55,12003
HELP CALL - STA 28,12004
ZONE DOWN - STA 2,12004
ZONE DOWN - STA 2 SUB-ASM,12005
ZONE DOWN - STA 4,12006
ZONE DOWN - STA 5,12007
ZONE DOWN - STA 6,12008
ZONE DOWN - STA 7,12009
ZONE DOWN - UNLOAD STA,12010
ZONE DOWN - STA 3,12011
ZONE DOWN - STA 4-5 SUB-ASM,12012
NO UNIT AT POST FOAM ,12013
BLOCKED BY CONVEYOR ZONE 1,12014
BARCODE NOT VALID - LOAD STA,12016
STA 11 ANDON PAST TAKT,12051
STATION DOWN - STA 47,12051
STA 40 TCI ANDON PAST TAKT,12051
STATION DOWN - STA 51,12052
CHRG STA ANDON PAST TAKT,12052
STA 24 ANDON PAST TAKT,12053
STATION DOWN - STA 55,12053
STA 28 ANDON PAST TAKT,12054
CYCLE STOP - STA 11,12101
CYCLE STOP - STA 47,12101
NOT COMPLETE - LOAD STA,12101
CYCLE STOP - STA 40 TCI,12101
NOT COMPLETE VISION STA,12102
CYCLE STOP- STA 51,12102
CYCLE STOP - CHARGE STA,12102
CYCLE STOP - STA 24,12103
CYCLE STOP - STA 55,12103
STATION 1 NOT COMPLETE,12103
STATION 2 NOT COMPLETE,12104
CYCLE STOP - STA 28,12104
STATION 3 NOT COMPLETE,12105
STATION 4 NOT COMPLETE,12106
STATION 5 NOT COMPLETE,12107
STATION 6 NOT COMPLETE,12108
STATION 7 NOT COMPLETE,12109
BLOCKED - CONVEYOR ZONE 1,12110
HELP CALL - LOAD STA,12201
HELP CALL - VISION STA,12202
HELP CALL - STA 1,12203
HELP CALL - STA 2,12204
HELP CALL - STA 2 SUB-ASM,12205
HELP CALL - STA 4,12206
HELP CALL - STA 5,12207
HELP CALL - STA 6,12208
HELP CALL - STA 7,12209
HELP CALL - UNLOAD STA,12210
HELP CALL - STA 3,12211
HELP CALL - STA 4-5 SUB-ASM,12212
EFLEX FAULT - LOAD STA,12301
EFLEX FAULT - VISION STA,12302
EFLEX FAULT- STA 1,12303
EFLEX FAULT- STA 2,12304
EFLEX FAULT- STA 3,12305
EFLEX FAULT- STA 4,12306
EFLEX FAULT- STA 5,12307
EFLEX FAULT- STA 6,12308
EFLEX FAULT- STA 7,12309
SCHEDULED RUN - START LINE,12400
NO SIGNAL - EFLEX LOAD,12401
NO SIGNAL - EFLEX VISION STA,12402
NO SIGNAL - EFLEX STA 1,12403
NO SIGNAL - EFLEX STA 2,12404
NO SIGNAL - EFLEX STA 3,12405
NO SIGNAL - EFLEX STA 4,12406
NO SIGNAL - EFLEX STA 5,12407
NO SIGNAL - EFLEX STA 6,12408
NO SIGNAL - EFLEX STA 7,12409
NO SIGNAL - UNLOAD STA,12410
NO SERIAL # AT LOAD STA,12420
NO SERIAL # AT STA 1,12421
NO SERIAL # AT STA 2,12422
NO SERIAL # AT STA 3,12423
NO SERIAL # AT STA 4,12424
NO SERIAL # AT STA 5,12425
NO SERIAL # AT STA 6,12426
NO SERIAL # AT UNLOAD STA,12427
STA 11 NOT COMPLETE,12501
STA 47 NOT COMPLETE,12501
REPAIR IN NOT CLEAR,12501
REPAIR OUT NOT CLEAR,12502
STA 51 NOT COMPLETE,12502
CHARGE STA NOT COMPLETE,12502
CHARGE STA NOT COMPLETE,12503
STA 55 NOT COMPLETE,12503
TCI STA 40 NOT COMPLETE,12503
STA 56 NOT COMPLETE,12504
CHARGE STA NOT COMPLETE,12504
CHARGE STA NOT COMPLETE,12505
REPAIR IN/OUT NOT COMPLETE,12505
STA 24 NOT COMPLETE,12506
STA 28 NOT COMPLETE,12507
STA 11 NOT COMPLETE,12601
STA 47 NOT COMPLETE,12601
STA 31 NOT COMPLETE,12601
STA 32 NOT COMPLETE,12602
STA 51 NOT COMPLETE,12602
CHRG STA NOT COMPLETE,12602
STA 24 NOT COMPLETE,12603
STA 55 NOT COMPLETE,12603
STA 33 NOT COMPLETE,12603
STA 40 TCI OVERTRAVELED,12604
STA 57 NOT COMPLETE,12604
STA 28 NOT COMPLETE,12604
REPAIR IN/OUT NOT COMPLETE,12605
WAITING ON AGC AT UNLOAD,12701
STOP-Stn 24 Warning Label Scan,14001
ESTOP - MCP,15001
ESTOP - MCP,15001
ESTOP - MCP,15001
ESTOP - ZONE 1 OR ZONE 3,15002
ESTOP - CONV ZONE 2,15002
ESTOP - STA 11,15011
ESTOP - STA 41,15011
ESTOP - STA 34,15011
ESTOP - STA 36,15012
ESTOP - STA 47,15012
ESTOP - CHARGE STA SOUTH,15012
ESTOP - CHARGE STA NORTH,15013
ESTOP - STA 52,15013
ESTOP - STA 57,15014
ESTOP - STA 24,15014
ESTOP - STA 60,15015
